"ORDERTYPE","CHANNELID","SALESCHANNEL","SALESPERSON","CREATIONDATE","STOREID","SUBSALESCHANNEL"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:40:27,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:39:21,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:39:00,"","Back Office and Support"
"POSTPAYMENT","ERICSSON","Support","EMM",25/08/2023 00:38:39,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:37:13,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:37:01,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:36:36,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:35:11,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:34:34,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:31:50,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:30:21,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:30:00,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:29:22,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:28:17,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:27:33,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:26:25,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:26:05,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:26:00,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:24:11,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:21:06,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:21:04,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:20:23,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:19:39,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:18:10,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:17:42,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:17:36,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:17:11,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:16:20,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:16:06,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:14:56,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:13:33,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:12:13,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:11:50,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:11:23,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:05:24,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:05:20,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:05:10,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:03:16,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:03:15,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:02:52,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",25/08/2023 00:02:40,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",25/08/2023 00:01:27,"","Back Office and Support"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",24/08/2023 19:53:07,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",24/08/2023 19:48:32,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",24/08/2023 19:43:44,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",24/08/2023 07:36:44,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",24/08/2023 07:13:04,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",24/08/2023 03:02:23,"4683","Full Service"
"ACTIVATION","CARE","Over the Phone","CManage4",24/08/2023 02:49:46,"","Care"
"ACTIVATION","CARE","Over the Phone","AMukher7",24/08/2023 02:28:18,"","TeleSales"
"ACTIVATION","CARE","Over the Phone","AMISHRA103",24/08/2023 01:08:14,"","Care"
"ADDALINE","RETAIL","In-Person","RManage3",24/08/2023 00:59:12,"7525","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",24/08/2023 00:55:54,"5502","Full Service"
"EXCHANGE","RETAIL","In-Person","RManage3",24/08/2023 00:53:25,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",24/08/2023 00:46:13,"5502","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",24/08/2023 00:42:42,"7525","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",24/08/2023 00:41:18,"7806","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",24/08/2023 00:40:40,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",24/08/2023 00:37:57,"1939","Full Service"
"EXCHANGE","RETAIL","In-Person","RManage3",23/08/2023 22:14:17,"491","Full Service"
"EXCHANGE","RETAIL","In-Person","RManage3",23/08/2023 21:54:08,"8808","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 21:50:31,"8808","Full Service"
"RETURN","RETAIL","In-Person","RManage3",23/08/2023 21:46:50,"8808","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 21:09:43,"7525","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",23/08/2023 19:56:22,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",23/08/2023 19:52:10,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",23/08/2023 19:46:06,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",23/08/2023 19:45:29,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",23/08/2023 07:11:28,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",23/08/2023 06:53:46,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",23/08/2023 06:35:52,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",23/08/2023 06:23:04,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",23/08/2023 06:09:29,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",23/08/2023 06:09:10,"4683","Full Service"
"MANAGEADDON","CARE","Over the Phone","AMISHRA103",23/08/2023 05:05:13,"","Care"
"ACTIVATION","CARE","Over the Phone","CManage4",23/08/2023 03:32:37,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 03:23:54,"7525","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 03:23:38,"8808","Full Service"
"ACTIVATION","CARE","Over the Phone","AMukher7",23/08/2023 03:21:50,"","TeleSales"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 03:19:39,"136F","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 03:17:02,"5766","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 03:13:15,"1922","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 03:08:09,"8808","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 02:57:13,"8808","Full Service"
"EXCHANGE","RETAIL","In-Person","RManage3",23/08/2023 02:56:46,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 02:53:21,"8808","Full Service"
"ACTIVATION","CARE","Over the Phone","AMISHRA103",23/08/2023 02:49:36,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 02:49:00,"8808","Full Service"
"EXCHANGE","RETAIL","In-Person","RManage3",23/08/2023 02:41:26,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 02:37:46,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 02:35:46,"8808","Full Service"
"EXCHANGE","RETAIL","In-Person","RManage3",23/08/2023 02:30:40,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",23/08/2023 02:26:50,"7806","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 02:22:38,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 02:18:20,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 01:20:04,"491","Full Service"
"RETURN","RETAIL","In-Person","RManage3",23/08/2023 01:19:09,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 01:12:21,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 00:57:55,"1939","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 00:57:52,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 00:53:26,"5502","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 00:48:40,"5502","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 00:48:14,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 00:47:21,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 00:39:44,"5502","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 00:39:20,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 00:38:43,"8808","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",23/08/2023 00:31:37,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 00:18:31,"5502","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",23/08/2023 00:16:10,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",22/08/2023 19:49:32,"7806","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",22/08/2023 19:41:00,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",22/08/2023 08:17:55,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 08:09:26,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:58:38,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:52:55,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",22/08/2023 07:48:50,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:41:06,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",22/08/2023 07:33:20,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:29:12,"7525","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:25:02,"136F","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:23:16,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:18:07,"5766","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",22/08/2023 07:14:38,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:13:05,"136F","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:10:16,"1922","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 07:08:45,"7525","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",22/08/2023 06:58:35,"8808","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 06:46:33,"8808","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 06:42:03,"8808","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 06:40:22,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",22/08/2023 01:07:22,"491","Full Service"
"ACTIVATION","CARE","Over the Phone","TESTING_TEAM",22/08/2023 00:06:17,"","Care"
"ACTIVATION","RETAIL","In-Person","repretail",21/08/2023 23:47:12,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",21/08/2023 19:46:16,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",21/08/2023 19:41:45,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",21/08/2023 19:38:30,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",21/08/2023 08:02:33,"4683","Full Service"
"ACTIVATION","CARE","Over the Phone","AROY34",21/08/2023 07:56:15,"","Care"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",21/08/2023 03:05:30,"","Care"
"MANAGERATEPLAN","CARE","Over the Phone","TESTING_TEAM",21/08/2023 03:01:19,"","Care"
"CHANGESERVICESTATUS","CARE","Over the Phone","TESTING_TEAM",21/08/2023 02:56:25,"","Care"
"EXCHANGE","RETAIL","In-Person","RManage3",21/08/2023 02:49:48,"491","Full Service"
"CHANGESERVICESTATUS","CARE","Over the Phone","TESTING_TEAM",21/08/2023 02:47:08,"","Care"
"ACTIVATION","RETAIL","In-Person","repretail",21/08/2023 02:46:57,"4683","Full Service"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",21/08/2023 02:46:56,"","Care"
"ACTIVATION","RETAIL","In-Person","repretail",21/08/2023 02:45:02,"4683","Full Service"
"RETURN","RETAIL","In-Person","RManage3",21/08/2023 02:44:51,"491","Full Service"
"CHANGESERVICESTATUS","CARE","Over the Phone","TESTING_TEAM",21/08/2023 02:44:21,"","Care"
"CHANGESERVICESTATUS","CARE","Over the Phone","TESTING_TEAM",21/08/2023 02:41:01,"","Care"
"ACTIVATION","CARE","Over the Phone","AROY34",21/08/2023 02:37:18,"","Care"
"ACTIVATION","RETAIL","In-Person","repretail",21/08/2023 02:33:04,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",21/08/2023 02:27:06,"491","Full Service"
"ACTIVATION","CARE","Over the Phone","KVIKRAM2",21/08/2023 02:24:37,"","Care"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",21/08/2023 02:24:15,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",21/08/2023 02:18:38,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",21/08/2023 02:15:59,"7806","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",21/08/2023 02:14:53,"4683","Full Service"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",20/08/2023 23:46:45,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",20/08/2023 23:19:20,"4683","Full Service"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",20/08/2023 23:10:22,"","Care"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",20/08/2023 22:41:25,"","Care"
"ACTIVATION","RETAIL","In-Person","repretail",20/08/2023 22:30:45,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",20/08/2023 22:26:18,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",20/08/2023 22:25:52,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",20/08/2023 22:25:25,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",20/08/2023 22:24:59,"4683","Full Service"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",20/08/2023 22:17:16,"","Care"
"ACTIVATION","CARE","Over the Phone","TESTING_TEAM",20/08/2023 22:13:00,"","Care"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",20/08/2023 22:06:45,"","Care"
"ACTIVATION","RETAIL","In-Person","repretail",20/08/2023 21:59:06,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",20/08/2023 21:55:39,"4683","Full Service"
"EXCHANGE","RETAIL","In-Person","RManage3",20/08/2023 20:54:19,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",20/08/2023 20:51:26,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",20/08/2023 20:50:08,"491","Full Service"
"EXCHANGE","RETAIL","In-Person","RManage3",20/08/2023 20:31:32,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",20/08/2023 20:30:13,"491","Full Service"
"RETURN","RETAIL","In-Person","RManage3",20/08/2023 20:22:56,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",20/08/2023 20:10:49,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",20/08/2023 20:06:04,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",20/08/2023 20:04:52,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",20/08/2023 19:20:58,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",20/08/2023 09:56:32,"4683","Full Service"
"EXCHANGE","RETAIL","In-Person","Manretail",20/08/2023 08:18:10,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",18/08/2023 09:37:47,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 09:37:47,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 09:28:44,"7349","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 09:24:06,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",18/08/2023 09:22:51,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",18/08/2023 09:15:23,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 09:12:09,"7349","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",18/08/2023 09:10:23,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",18/08/2023 08:56:16,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 08:51:40,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 08:05:32,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",18/08/2023 07:55:15,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 07:48:38,"491","Full Service"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",18/08/2023 07:45:37,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",18/08/2023 07:05:59,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",18/08/2023 05:16:00,"4683","Full Service"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",18/08/2023 05:01:51,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",18/08/2023 05:01:02,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 03:43:28,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",18/08/2023 02:16:00,"491","Full Service"
"ACTIVATION","CARE","Over the Phone","TESTING_TEAM",18/08/2023 02:01:12,"","Care"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",18/08/2023 01:44:29,"","Care"
